ticket_id,org_id,type,title,priority,status,owner_team,created_at,due_at,sla_days,related_finding_id,related_alert_id,notes
TCK-3FFWPNX3,ORG-EMBER,change_request,Restrict overly broad cloud permissions,P1,closed,Security,2025-12-12T06:52:56Z,2025-12-26T06:52:56Z,14,FND-B631H8XB,,Potential business exception; document rationale if accepting risk.
TCK-NZUUAE0Q,ORG-ACME,remediation,Enable audit logging for critical event sources,P2,open,IT Ops,2025-11-05T01:10:27Z,2026-01-04T01:10:27Z,60,FND-DTSJDWLW,,Proceed via change management; schedule maintenance window if needed.
TCK-ZP06LATD,ORG-EMBER,investigation,Enforce MFA for privileged access,P1,in_progress,Data,2025-09-07T19:20:14Z,2025-09-14T19:20:14Z,7,FND-Y0LE4RTF,,Confirm impact on downstream systems before rollout.
TCK-SLXQB00E,ORG-EMBER,risk_acceptance,Harden TLS policy for internet-facing services,P2,open,Customer Apps,2025-11-29T22:31:00Z,2025-12-13T22:31:00Z,14,FND-7XLSKQQ6,,Coordinate with service owner; capture before/after evidence.
TCK-EEVV5GR6,ORG-EMBER,exception,Harden TLS policy for internet-facing services,P3,open,Infra,2025-12-26T14:20:54Z,2026-01-09T14:20:54Z,14,,,Potential business exception; document rationale if accepting risk.
TCK-ZR4GYK59,ORG-ACME,remediation,Enable audit logging for critical event sources,P4,open,Customer Apps,2025-08-30T15:09:45Z,2025-10-29T15:09:45Z,60,FND-LK5WRN77,,Potential business exception; document rationale if accepting risk.
TCK-USES7RQM,ORG-ORION,change_request,Review public exposure and confirm intended access,P4,closed,Data,2025-10-04T08:17:55Z,2025-10-11T08:17:55Z,7,,,Proceed via change management; schedule maintenance window if needed.
TCK-LCNHZA4V,ORG-EMBER,change_request,Harden TLS policy for internet-facing services,P3,ready_for_retest,Platform,2025-09-19T08:30:12Z,2025-10-03T08:30:12Z,14,FND-IDTGKKNO,,Confirm impact on downstream systems before rollout.
TCK-JZ6FASRP,ORG-ORION,change_request,Enable audit logging for critical event sources,P4,ready_for_retest,IT Ops,2025-09-07T17:39:18Z,2025-12-06T17:39:18Z,90,FND-MYO51TNJ,,Potential business exception; document rationale if accepting risk.
TCK-RN928B0J,ORG-ACME,remediation,Harden TLS policy for internet-facing services,P2,in_progress,Infra,2025-12-21T13:07:29Z,2026-01-04T13:07:29Z,14,,,Coordinate with service owner; capture before/after evidence.
TCK-BHDNEVJA,ORG-ACME,investigation,Harden TLS policy for internet-facing services,P3,blocked,Infra,2025-10-24T18:25:03Z,2025-11-23T18:25:03Z,30,FND-64KED510,ALT-1L9FX57K,Proceed via change management; schedule maintenance window if needed.
TCK-FXFQXXLV,ORG-EMBER,risk_acceptance,Restrict overly broad cloud permissions,P4,in_progress,Platform,2025-11-28T08:58:20Z,2025-12-28T08:58:20Z,30,FND-XDOTKNIX,,Coordinate with service owner; capture before/after evidence.
TCK-8Q6GY7YK,ORG-ACME,risk_acceptance,Investigate suspicious authentication activity,P3,ready_for_retest,Platform,2025-11-19T15:23:58Z,2025-11-26T15:23:58Z,7,FND-CWP8NXWN,,Confirm impact on downstream systems before rollout.
TCK-1CVFT5SN,ORG-ORION,investigation,Enforce MFA for privileged access,P2,ready_for_retest,IT Ops,2025-09-02T19:02:33Z,2025-09-09T19:02:33Z,7,FND-CWP8NXWN,,Proceed via change management; schedule maintenance window if needed.
TCK-FCYUTKNP,ORG-ACME,risk_acceptance,Review public exposure and confirm intended access,P3,in_progress,Infra,2025-09-29T23:58:27Z,2025-11-28T23:58:27Z,60,FND-1M6P09WH,,Confirm impact on downstream systems before rollout.
TCK-IW7GNMAP,ORG-EMBER,remediation,Enforce MFA for privileged access,P1,in_progress,Payments,2025-10-16T03:06:31Z,2026-01-14T03:06:31Z,90,FND-7V2K6OY0,,Proceed via change management; schedule maintenance window if needed.
TCK-EXC7C421,ORG-ORION,change_request,Investigate suspicious authentication activity,P4,closed,Customer Apps,2025-12-30T03:15:46Z,2026-01-29T03:15:46Z,30,,,Coordinate with service owner; capture before/after evidence.
TCK-M391T93U,ORG-ACME,change_request,Investigate suspicious authentication activity,P2,ready_for_retest,Data,2025-10-13T23:42:53Z,2025-10-20T23:42:53Z,7,FND-IASHZQGG,,Coordinate with service owner; capture before/after evidence.
TCK-VY4ROXDG,ORG-EMBER,remediation,Harden TLS policy for internet-facing services,P4,in_progress,Data,2025-08-31T16:30:38Z,2025-09-14T16:30:38Z,14,,,Potential business exception; document rationale if accepting risk.
TCK-S80SWRMY,ORG-ACME,exception,Investigate suspicious authentication activity,P2,open,IT Ops,2025-12-12T12:12:08Z,2025-12-19T12:12:08Z,7,FND-LUY6RVHY,,Confirm impact on downstream systems before rollout.
TCK-C9WHTG9M,ORG-EMBER,investigation,Restrict overly broad cloud permissions,P1,open,Payments,2025-10-19T04:55:05Z,2025-10-26T04:55:05Z,7,,ALT-HEAL2SIR,Confirm impact on downstream systems before rollout.
TCK-DNDK2RKO,ORG-ACME,risk_acceptance,Investigate suspicious authentication activity,P4,open,Platform,2025-12-24T00:24:59Z,2025-12-31T00:24:59Z,7,FND-1MSN0B1H,,Confirm impact on downstream systems before rollout.
TCK-0EAII9VT,ORG-ACME,risk_acceptance,Enforce MFA for privileged access,P2,closed,Infra,2025-10-28T20:45:52Z,2025-11-11T20:45:52Z,14,FND-3G2DMQZS,,Confirm impact on downstream systems before rollout.
TCK-T52MX3Z8,ORG-EMBER,investigation,Review public exposure and confirm intended access,P1,blocked,Payments,2025-11-15T21:57:00Z,2026-01-14T21:57:00Z,60,FND-WZ8H1KJ3,ALT-UGER5UAH,Coordinate with service owner; capture before/after evidence.
TCK-OOJ2SR4F,ORG-ORION,remediation,Harden TLS policy for internet-facing services,P4,closed,Security,2025-08-30T10:56:42Z,2025-10-29T10:56:42Z,60,,,Confirm impact on downstream systems before rollout.
TCK-1METWBRF,ORG-ACME,investigation,Enable audit logging for critical event sources,P2,open,IT Ops,2025-09-01T23:52:01Z,2025-11-30T23:52:01Z,90,FND-EZG1Z785,ALT-Z9VG4U2E,Proceed via change management; schedule maintenance window if needed.
TCK-BOSGFOAM,ORG-EMBER,risk_acceptance,Review public exposure and confirm intended access,P2,blocked,Payments,2025-08-18T20:49:48Z,2025-11-16T20:49:48Z,90,,,Confirm impact on downstream systems before rollout.
TCK-6G6MMK2W,ORG-ACME,investigation,Restrict overly broad cloud permissions,P1,blocked,Customer Apps,2025-11-30T15:07:02Z,2026-02-28T15:07:02Z,90,FND-M0UG0E1F,,Coordinate with service owner; capture before/after evidence.
TCK-0WS87M3J,ORG-EMBER,change_request,Review public exposure and confirm intended access,P2,open,Customer Apps,2025-11-02T23:21:00Z,2026-01-31T23:21:00Z,90,FND-O1B7N2Q3,,Potential business exception; document rationale if accepting risk.
TCK-6CJET4F3,ORG-ORION,investigation,Enforce MFA for privileged access,P4,closed,Security,2025-10-09T15:50:40Z,2025-12-08T15:50:40Z,60,FND-NEAU8KML,ALT-CRVNO799,Proceed via change management; schedule maintenance window if needed.
TCK-JA7H8SJO,ORG-EMBER,remediation,Harden TLS policy for internet-facing services,P1,closed,Security,2025-09-06T06:30:31Z,2025-12-05T06:30:31Z,90,FND-O1B7N2Q3,,Proceed via change management; schedule maintenance window if needed.
TCK-V9EQXH4N,ORG-EMBER,remediation,Review public exposure and confirm intended access,P2,in_progress,Customer Apps,2025-09-15T11:01:46Z,2025-11-14T11:01:46Z,60,FND-KV85ROKF,,Potential business exception; document rationale if accepting risk.
